,name,github_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,helm_id,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,brew_id,go_id,npm_id,npm_url,npm_latest_release_published_at,npm_monthly_downloads
83,Argus,salesforce/Argus,event-analytics,https://github.com/salesforce/Argus,https://github.com/salesforce/Argus,2015-10-26 20:17:17+00:00,2019-11-05 03:04:41+00:00,2019-08-21 15:04:42+00:00,111.0,44.0,47.0,424,3068.0,2018-10-07 02:04:57+00:00,2.21.3,,,20.0,Time series monitoring and alerting platform.,,,54,17,True,3,BSD-3-Clause,,,,,,,,,,,,,,,,
84,chronix.server,ChronixDB/chronix.server,data-storage,https://github.com/ChronixDB/chronix.server,https://github.com/ChronixDB/chronix.server,2015-10-02 11:04:02+00:00,2019-11-07 19:44:39+00:00,2019-11-07 19:44:15+00:00,26.0,12.0,71.0,251,585.0,2019-08-24 18:38:50+00:00,0.5.1,1849.0,39.0,13.0,The Chronix Server implementation that is based on Apache Solr.,,,12,17,True,3,Apache-2.0,,,,,,,,,,,,,,,,
85,AI-Blocks,MrNothing/AI-Blocks,dev-environments,https://github.com/MrNothing/AI-Blocks,https://github.com/MrNothing/AI-Blocks,2017-10-16 10:51:25+00:00,2019-10-22 15:38:33+00:00,2019-10-22 15:38:22+00:00,215.0,2.0,14.0,1721,158.0,2017-12-13 09:50:55+00:00,1.5.3-beta,2962.0,118.0,11.0,A powerful and intuitive WYSIWYG interface that allows anyone to..,,,4,16,False,2,,,,,,,,,,,,,,,,,
86,sqlite,mackyle/sqlite,data-storage,https://github.com/mackyle/sqlite,https://github.com/mackyle/sqlite,2013-05-31 08:13:04+00:00,2019-11-09 09:48:18+00:00,2019-11-08 20:13:44+00:00,437.0,2.0,,1443,21172.0,,,,,,Unofficial git mirror of SQLite sources (see link for build..,,,28,16,False,3,,,,,,,,,,,,,,,,,
87,cuisine,sebastien/cuisine,remote-executions,https://github.com/sebastien/cuisine,https://github.com/sebastien/cuisine,2011-02-28 20:26:37+00:00,2018-02-27 14:58:41+00:00,2018-02-27 14:58:26+00:00,155.0,24.0,80.0,1243,424.0,,,,,,Chef-like functionality for Fabric.,123.0,123.0,56,16,False,3,,,,,,,,,,,,,,,,,
88,Ackee,electerious/Ackee,event-analytics,https://github.com/electerious/Ackee,https://github.com/electerious/Ackee,2014-04-16 08:08:37+00:00,2019-11-09 12:45:49+00:00,2019-11-05 15:12:07+00:00,55.0,6.0,31.0,1091,626.0,2019-11-05 15:32:36+00:00,1.4.0,,,5.0,"Self-hosted, Node.js based analytics tool for those who care about..",,,5,16,True,3,MIT,,,,,,,,,,,,,,,,
89,incubator-hudi,apache/incubator-hudi,others,https://github.com/apache/incubator-hudi,https://github.com/apache/incubator-hudi,2016-12-14 15:53:41+00:00,2019-11-09 19:20:51+00:00,2019-11-07 16:42:48+00:00,255.0,42.0,383.0,718,607.0,2019-05-29 03:05:37+00:00,hoodie-0.4.7,,,8.0,Upserts And Incremental Processing on Big Data.,,,65,16,True,3,Apache-2.0,,,,,,,,,,,,,,,,
90,metron,apache/metron,others,https://github.com/apache/metron,https://github.com/apache/metron,2015-12-08 08:00:05+00:00,2019-11-08 20:29:17+00:00,2019-11-05 01:30:41+00:00,466.0,28.0,,696,1431.0,,,,,,Apache Metron.,,,78,16,True,3,Apache-2.0,,,,,,,,,,,,,,,,
91,modeldb,mitdbg/modeldb,others,https://github.com/mitdbg/modeldb,https://github.com/mitdbg/modeldb,2016-10-19 01:07:26+00:00,2019-05-13 02:40:11+00:00,2019-02-21 20:58:15+00:00,151.0,60.0,28.0,793,1109.0,,,,,,A system to manage machine learning models.,4.0,4.0,19,15,True,3,MIT,,,,,,,,,,,,,,,,
92,PostGIS,postgis/postgis,data-storage,https://github.com/postgis/postgis,https://github.com/postgis/postgis,2012-05-22 13:31:25+00:00,2019-11-07 01:05:54+00:00,2019-11-06 22:59:15+00:00,249.0,2.0,,714,13128.0,,,,,,PostGIS spatial database extension to PostgreSQL [mirror].,,,32,15,False,3,,,,,,,,,,,,,,,,,
